chr	start	end	flagstat	target	mstart	mapq	cigar	identity	strand	distance	matches	max_identity
chrY	5911000	5916000	272	chrY_hg002	10237470	0	284M4I310M1I170M1D434M3797S	79.8004987531172	+	4326470	1198	79.8004987531172
chrY	5912000	5917000	272	chrY_hg002	10236470	0	1284M4I310M1I170M1D434M2797S	88.7426236949614	+	4324470	2198	88.7426236949614
chrY	5913000	5918000	272	chrY_hg002	10235749	0	280S277M1D1727M4I310M1I170M1D434M1797S	91.2760862127951	+	4322749	2918	91.2760862127951
chrY	5914000	5919000	272	chrY_hg002	10234449	0	708M1I265M21D583M1D1727M4I310M1I170M1D434M797S	86.057577920533	+	4320449	4197	86.057577920533
chrY	5915000	5920000	272	chrY_hg002	10234160	0	711S997M1I265M21D583M1D1727M4I310M1I170M231S	91.3997042878265	+	4319160	4052	91.3997042878265
chrY	5916000	5921000	272	chrY_hg002	10234160	0	1711S997M1I265M21D583M1D1443M	89.54089388872	+	4318160	3288	89.54089388872
chrY	5917000	5922000	272	chrY_hg002	10234160	0	2711S997M1I265M21D583M1D443M	85.1900393184797	+	4317160	2288	85.1900393184797
chrY	5918000	5923000	272	chrY_hg002	10234160	0	3711S997M1I265M26S	99.6041171813143	+	4316160	1262	99.6041171813143
chrY	5920000	5925000	272	chrY_hg002	10228458	0	261M9I874M3856S	99.1258741258741	+	4308458	1135	99.1258741258741
chrY	5921000	5926000	272	chrY_hg002	10227458	0	1261M9I874M2856S	95.1026119402985	+	4306458	2135	95.1026119402985
chrY	5926000	5931000	272	chrY_hg002	10202964	0	828S446M2I287M1I404M2D953M2079S	94.2666029622551	+	4276964	2090	94.2666029622551
chrY	5927000	5932000	272	chrY_hg002	10202964	0	1828S446M2I287M1I404M2D953M1079S	94.2666029622551	+	4275964	2090	94.2666029622551
chrY	5928000	5933000	272	chrY_hg002	10202964	0	2828S446M2I287M1I404M2D953M79S	94.2666029622551	+	4274964	2090	94.2666029622551
chrY	5929000	5934000	272	chrY_hg002	10202964	0	3828S446M2I287M1I404M2D32M	90.0170648464164	+	4273964	1169	90.0170648464164
chrY	5938000	5943000	272	chrY_hg002	10190306	0	180S1161M30D115M4I187M3353S	80.3680981595092	+	4252306	1463	80.3680981595092
chrY	5939000	5944000	272	chrY_hg002	10189193	0	67S2274M30D115M4I187M2353S	64.2635658914729	+	4250193	2576	64.2635658914729
chrY	5940000	5945000	272	chrY_hg002	10188127	0	17M1I3323M30D115M4I187M1353S	68.8236907046888	+	4248127	3642	68.8236907046888
chrY	5941000	5946000	272	chrY_hg002	10187220	0	93S924M1I3323M30D115M4I187M353S	74.9670619235837	+	4246220	4549	74.9670619235837
chrY	5942000	5947000	272	chrY_hg002	10187220	0	1093S924M1I2982M	75.5310980291784	+	4245220	3906	75.5310980291784
chrY	5943000	5948000	272	chrY_hg002	10187220	0	2093S924M1I1895M87S	79.0425531914894	+	4244220	2819	79.0425531914894
chrY	5944000	5949000	272	chrY_hg002	10187220	0	3093S924M1I837M145S	99.6594778660613	+	4243220	1761	99.6594778660613
chrY	5945000	5950000	272	chrY_hg002	10184801	0	1676S1298M2026S	82.2033898305085	+	4239801	1298	82.2033898305085
chrY	5946000	5951000	272	chrY_hg002	10184801	0	2676S1298M1026S	82.2033898305085	+	4238801	1298	82.2033898305085
chrY	5947000	5952000	272	chrY_hg002	10184801	0	3676S1298M26S	82.2033898305085	+	4237801	1298	82.2033898305085
chrY	5953000	5958000	272	chrY_hg002	10173524	0	1615M3385S	80.6811145510836	+	4220524	1615	80.6811145510836
chrY	5954000	5959000	272	chrY_hg002	10172524	0	2615M2385S	88.0688336520077	+	4218524	2615	88.0688336520077
chrY	5955000	5960000	272	chrY_hg002	10171524	0	3615M1385S	91.3416320885201	+	4216524	3615	91.3416320885201
chrY	5956000	5961000	272	chrY_hg002	10170693	0	169S4446M385S	88.3940620782726	+	4214693	4446	88.3940620782726
chrY	5957000	5962000	272	chrY_hg002	10170693	0	1169S3399M432S	93.9982347749338	+	4213693	3399	93.9982347749338
chrY	5958000	5963000	272	chrY_hg002	10170693	0	2169S2831M	92.7940657011657	+	4212693	2831	92.7940657011657
chrY	5959000	5964000	272	chrY_hg002	10167524	0	1995M3005S	99.8496240601504	+	4208524	1995	99.8496240601504
chrY	5960000	5965000	272	chrY_hg002	10166524	0	2995M2005S	99.8998330550918	+	4206524	2995	99.8998330550918
chrY	5961000	5966000	272	chrY_hg002	10166024	0	500S3495M1005S	99.9141630901288	+	4205024	3495	99.9141630901288
chrY	5962000	5967000	272	chrY_hg002	10166024	0	1500S3495M5S	99.9141630901288	+	4204024	3495	99.9141630901288
chrY	5963000	5968000	272	chrY_hg002	10166024	0	2500S2500M	99.96	+	4203024	2500	99.96
chrY	5964000	5969000	16	chrY_hg002	10166024	0	3500S1500M	100	+	4202024	1500	100
chrY	5965000	5970000	272	chrY_hg002	10163497	0	1981S204M8D809M2006S	65.7453109575518	+	4198497	1013	65.7453109575518
chrY	5966000	5971000	272	chrY_hg002	10163497	0	2981S204M8D809M1006S	65.7453109575518	+	4197497	1013	65.7453109575518
chrY	5967000	5972000	16	chrY_hg002	10159516	0	1807M3193S	100	+	4192516	1807	100
chrY	5968000	5973000	272	chrY_hg002	10158533	0	17S2790M2193S	100	+	4190533	2790	100
chrY	5969000	5974000	272	chrY_hg002	10157512	0	750M4D3057M1193S	92.0147097452062	+	4188512	3807	92.0147097452062
chrY	5970000	5975000	272	chrY_hg002	10156512	0	1750M4D3057M193S	93.6758893280632	+	4186512	4807	93.6758893280632
chrY	5971000	5976000	272	chrY_hg002	10155512	0	2750M4D2250M	93.92	+	4184512	5000	93.92
